Capture018_export,Capture017_export,Capture016_export,Capture015_export,Capture014_export
47.22977808,169.47155664000005,147.24577872,122.24177856,66.67733376
402.84222480000005,447.29378064,316.71733536,194.4755568,194.47555680000002
394.50755808,380.61644688000007,425.06800272,386.17289136000005,272.26577952
388.95111360000004,383.39466912000006,411.17689152,388.9511136,397.28578032
391.72933584000003,380.61644688000007,419.51155824,388.9511136,402.84222480000005
391.72933584000003,369.50355792000005,422.28978048,388.9511136,402.84222480000005
391.72933584000003,375.0600024,419.51155824,388.9511136,402.84222480000005
391.72933584000003,366.72533568000006,425.06800272,391.72933584,405.62044704
391.72933584000003,380.61644688000007,422.28978048,386.17289136000005,402.84222480000005
397.28578032,380.61644688000007,419.51155824,386.17289136000005,394.50755808
400.06400256000006,380.61644688000007,425.06800272,391.72933584,397.28578032
386.17289136000005,372.28178016,425.06800272,391.72933584,394.50755808
391.72933584000003,369.50355792000005,427.84622496,391.72933584,344.49955776
388.95111360000004,372.28178016,416.733336,388.9511136,380.61644688000007
394.50755808,377.83822464,425.06800272,388.9511136,380.61644688000007
388.95111360000004,372.28178016,425.06800272,388.9511136,386.17289136000005
391.72933584000003,369.50355792000005,427.84622496,388.9511136,380.61644688000007
391.72933584000003,375.0600024,422.28978048,388.9511136,383.39466912000006
391.72933584000003,375.0600024,419.51155824,391.72933584,377.83822464
458.4066696,372.28178016,416.733336,394.50755808,388.95111360000004
216.70133472,375.0600024,422.28978048,383.39466912000006,372.28178016
216.70133472,377.83822464,411.17689152,388.9511136,377.83822464
,377.83822464,238.92711264,208.366668,386.17289136000005
,,238.92711264,208.366668,36.11688912
,,,,36.11688912
