Capture009_export,Capture008_export,Capture007_export,Capture006_export,Capture005_export
199.403064,185.159988,156.67383600000005,28.486152,71.21538000000002
384.56305199999997,299.104596,199.403064,256.37536800000004,256.37536800000004
427.29228,455.778432,384.563052,427.29228,384.563052
441.535356,455.778432,413.049204,413.04920400000003,413.049204
455.778432,441.535356,384.563052,413.04920400000003,427.29228
427.29228,427.29228,370.319976,398.806128,398.806128
413.049204,413.04920400000003,356.0769,427.29228,441.535356
413.049204,427.29228,384.563052,413.04920400000003,413.049204
455.778432,441.535356,398.806128,427.29228,427.29228
441.535356,427.29228,398.806128,413.04920400000003,398.806128
413.049204,427.29228,384.563052,398.806128,413.049204
384.56305199999997,427.29228,384.563052,441.535356,413.049204
512.7507360000001,384.563052,384.563052,384.563052,427.29228
413.049204,398.806128,427.29228,413.04920400000003,441.535356
427.29228,413.04920400000003,356.0769,398.806128,427.29228
427.29228,398.806128,370.319976,413.04920400000003,413.049204
470.021508,398.806128,384.563052,413.04920400000003,398.806128
441.535356,398.806128,398.806128,427.29228,398.806128
398.806128,356.0769,370.319976,413.04920400000003,384.563052
427.29228,384.563052,370.319976,427.29228,413.049204
441.535356,356.0769,370.319976,413.04920400000003,398.806128
470.021508,356.0769,413.049204,398.806128,398.806128
427.29228,356.0769,413.049204,398.806128,384.563052
455.778432,384.563052,370.319976,427.29228,370.319976
427.29228,370.319976,370.319976,441.535356,398.806128
441.535356,384.563052,413.049204,398.806128,370.319976
470.021508,356.0769,370.319976,413.04920400000003,356.0769
455.778432,356.0769,384.563052,398.806128,370.319976
498.50766000000004,341.83382400000005,413.049204,356.0769,356.0769
413.049204,341.83382400000005,384.563052,470.021508,356.0769
441.535356,327.590748,384.563052,356.0769,356.0769
455.778432,341.83382400000005,398.806128,413.04920400000003,356.0769
441.535356,313.3476720000001,398.806128,413.04920400000003,356.0769
470.021508,299.104596,413.049204,398.806128,341.83382400000005
441.535356,313.3476720000001,398.806128,413.04920400000003,313.3476720000001
441.535356,270.618444,384.563052,398.806128,327.590748
498.50766000000004,284.8615200000001,384.563052,413.04920400000003,327.590748
470.021508,299.104596,370.319976,398.806128,313.3476720000001
441.535356,270.618444,384.563052,398.806128,299.104596
413.049204,256.37536800000004,356.0769,356.0769,313.3476720000001
270.618444,242.132292,170.91691200000002,356.0769,327.590748
71.21538000000001,142.43076000000005,170.91691200000002,,327.590748
